Match_No,Player_Name,Catches_Taken,Catches_Dropped,Run_Outs_Executed,Run_Outs_Missed,Boundaries_Saved,Direct_Hits,Fumbles,Total_Fielding_Actions
1,Babar Azam,3,0,1,0,2,1,0,7
1,Mohammad Rizwan,2,1,0,1,1,0,1,6
1,Fakhar Zaman,1,0,2,0,3,2,0,8
1,Shadab Khan,4,0,0,0,1,0,0,5
1,Hasan Ali,1,1,1,1,2,1,1,8
1,Shaheen Afridi,0,0,0,0,1,0,0,1
1,Naseem Shah,1,0,1,0,1,1,0,4
1,Mohammad Nawaz,2,0,0,1,2,0,0,5
1,Iftikhar Ahmed,1,1,1,0,1,1,1,6
1,Asif Ali,2,0,0,0,1,0,0,3
1,Mohammad Hafeez,3,0,1,0,2,1,0,7
2,Babar Azam,2,1,0,0,3,1,1,8
2,Mohammad Rizwan,4,0,1,0,1,1,0,7
2,Fakhar Zaman,1,0,0,1,2,1,0,5
2,Shadab Khan,2,0,1,0,2,1,0,6
2,Hasan Ali,0,1,2,0,1,2,0,6
2,Shaheen Afridi,1,0,0,1,0,0,1,3
2,Naseem Shah,0,0,0,0,2,0,0,2
2,Mohammad Nawaz,3,0,0,0,1,0,1,5
2,Iftikhar Ahmed,2,0,1,1,1,1,0,6
2,Asif Ali,1,1,0,0,2,0,1,5
2,Mohammad Hafeez,1,0,2,0,1,2,0,6
3,Babar Azam,4,0,0,1,1,1,0,7
3,Mohammad Rizwan,1,0,2,0,2,2,0,7
3,Fakhar Zaman,3,1,1,0,1,1,1,8
3,Shadab Khan,1,0,0,0,3,0,0,4
3,Hasan Ali,2,0,1,0,2,1,1,7
3,Shaheen Afridi,0,1,0,0,1,0,0,2
3,Naseem Shah,1,0,0,1,1,0,1,4
3,Mohammad Nawaz,2,1,1,0,1,1,0,6
3,Iftikhar Ahmed,0,0,0,1,2,0,0,3
3,Asif Ali,3,0,1,0,1,1,0,6
3,Mohammad Hafeez,2,0,0,0,3,1,0,6
4,Babar Azam,1,1,2,0,2,2,0,8
4,Mohammad Rizwan,3,0,0,0,1,0,1,5
4,Fakhar Zaman,2,0,1,1,2,1,0,7
4,Shadab Khan,3,0,1,0,1,1,0,6
4,Hasan Ali,1,1,0,0,3,0,1,6
4,Shaheen Afridi,0,0,1,0,0,1,0,2
4,Naseem Shah,2,0,0,0,1,0,0,3
4,Mohammad Nawaz,1,0,2,0,2,2,0,7
4,Iftikhar Ahmed,2,1,0,1,1,0,1,6
4,Asif Ali,1,0,0,0,1,0,0,2
4,Mohammad Hafeez,4,0,1,0,1,1,0,7
5,Babar Azam,2,0,1,1,3,1,0,8
5,Mohammad Rizwan,1,1,1,0,2,1,1,7
5,Fakhar Zaman,4,0,0,0,1,0,0,5
5,Shadab Khan,2,0,2,0,2,2,0,8
5,Hasan Ali,0,0,0,1,2,0,0,3
5,Shaheen Afridi,1,0,0,0,1,0,1,3
5,Naseem Shah,0,1,1,0,1,1,0,4
5,Mohammad Nawaz,3,0,0,1,1,0,0,5
5,Iftikhar Ahmed,1,0,1,0,2,1,0,5
5,Asif Ali,2,1,0,0,1,0,1,5
5,Mohammad Hafeez,1,0,2,0,2,2,0,7
