Match_No,Player_Name,Catches_Taken,Catches_Dropped,Run_Outs_Executed,Run_Outs_Missed,Boundaries_Saved,Direct_Hits,Fumbles,Total_Fielding_Actions
1,AB de Villiers,4,0,2,0,3,2,0,11
1,David Warner,2,1,1,1,2,1,1,9
1,Glenn Maxwell,3,0,0,1,4,1,0,9
1,Rashid Khan,1,0,0,0,1,0,0,2
1,Andre Russell,2,1,1,0,1,1,2,8
1,Kieron Pollard,1,0,3,0,2,3,0,9
1,Sunil Narine,0,1,0,0,0,0,1,2
1,Pat Cummins,1,0,0,1,1,0,0,3
1,Jofra Archer,0,0,0,0,2,1,0,3
1,Trent Boult,1,0,1,0,1,1,0,4
1,Kagiso Rabada,2,0,0,0,1,0,1,4
2,AB de Villiers,3,1,1,0,2,1,1,9
2,David Warner,4,0,0,0,3,2,0,9
2,Glenn Maxwell,1,1,2,0,1,2,0,7
2,Rashid Khan,0,0,0,1,0,0,1,2
2,Andre Russell,3,0,1,1,2,1,0,8
2,Kieron Pollard,2,0,2,0,1,2,1,8
2,Sunil Narine,1,0,0,0,1,0,0,2
2,Pat Cummins,0,1,0,0,1,0,1,3
2,Jofra Archer,1,0,1,0,2,1,0,5
2,Trent Boult,2,0,0,1,1,1,0,5
2,Kagiso Rabada,1,1,1,0,2,0,0,5
3,AB de Villiers,2,0,1,1,1,1,0,6
3,David Warner,3,1,1,0,2,1,1,9
3,Glenn Maxwell,4,0,0,0,3,2,0,9
3,Rashid Khan,1,0,0,0,1,0,0,2
3,Andre Russell,1,1,2,0,1,2,1,8
3,Kieron Pollard,3,0,1,1,2,1,0,8
3,Sunil Narine,0,1,0,0,0,0,2,3
3,Pat Cummins,1,0,1,0,1,1,0,4
3,Jofra Archer,2,0,0,1,2,0,1,6
3,Trent Boult,1,0,2,0,1,2,0,6
3,Kagiso Rabada,2,0,0,0,3,1,0,6
