Match_No,Player_Name,Catches_Taken,Catches_Dropped,Run_Outs_Executed,Run_Outs_Missed,Boundaries_Saved,Direct_Hits,Fumbles,Total_Fielding_Actions
1,Angelo Mathews,3,0,1,1,2,1,0,8
1,Kusal Mendis,2,1,0,0,3,1,1,8
1,Dinesh Chandimal,4,0,2,0,1,2,0,9
1,Thisara Perera,1,0,1,0,2,1,1,6
1,Wanindu Hasaranga,2,0,0,1,1,0,0,4
1,Lasith Malinga,0,1,1,0,1,1,0,4
1,Nuwan Pradeep,1,0,0,0,2,0,1,4
1,Akila Dananjaya,1,1,0,0,1,0,1,4
1,Isuru Udana,2,0,1,0,1,1,0,5
1,Dhananjaya de Silva,0,0,2,0,2,2,0,6
1,Avishka Fernando,3,0,0,1,1,0,0,5
2,Angelo Mathews,2,1,2,0,1,2,1,9
2,Kusal Mendis,3,0,0,0,2,0,0,5
2,Dinesh Chandimal,1,0,1,1,3,1,0,7
2,Thisara Perera,2,1,0,0,1,0,2,6
2,Wanindu Hasaranga,3,0,1,0,2,1,0,7
2,Lasith Malinga,0,0,0,1,1,0,0,2
2,Nuwan Pradeep,1,0,1,0,1,1,0,4
2,Akila Dananjaya,0,1,0,0,0,0,1,2
2,Isuru Udana,2,0,0,1,2,0,0,5
2,Dhananjaya de Silva,1,0,1,0,2,1,0,5
2,Avishka Fernando,4,0,0,0,1,0,1,6
3,Angelo Mathews,1,0,0,0,3,1,0,5
3,Kusal Mendis,2,0,1,1,2,1,1,8
3,Dinesh Chandimal,3,1,1,0,1,1,0,7
3,Thisara Perera,4,0,2,0,2,2,0,10
3,Wanindu Hasaranga,1,0,0,0,1,0,0,2
3,Lasith Malinga,0,1,1,0,0,1,1,4
3,Nuwan Pradeep,1,0,0,1,2,0,0,4
3,Akila Dananjaya,2,0,0,0,1,0,1,4
3,Isuru Udana,1,1,1,0,1,1,0,5
3,Dhananjaya de Silva,2,0,2,0,1,2,0,7
3,Avishka Fernando,1,1,0,0,2,0,1,5
