Match_No,Player_Name,Catches_Taken,Catches_Dropped,Run_Outs_Executed,Run_Outs_Missed,Boundaries_Saved,Direct_Hits,Fumbles,Total_Fielding_Actions
1,Mohammad Nabi,3,0,2,0,2,2,0,9
1,Rashid Khan,2,0,0,1,1,0,0,4
1,Mujeeb Ur Rahman,1,1,0,0,1,0,1,4
1,Gulbadin Naib,2,1,1,0,2,1,1,8
1,Hazratullah Zazai,1,0,0,1,3,1,0,6
1,Mohammad Shahzad,4,0,1,0,1,1,0,7
1,Asghar Afghan,2,0,1,1,2,1,0,7
1,Najibullah Zadran,1,1,0,0,2,0,1,5
1,Dawlat Zadran,0,0,1,0,1,1,0,3
1,Hamid Hassan,1,0,0,0,1,0,1,3
1,Samiullah Shinwari,3,0,1,0,1,1,0,6
2,Mohammad Nabi,2,1,1,0,3,1,1,9
2,Rashid Khan,1,0,1,0,2,1,0,5
2,Mujeeb Ur Rahman,0,1,0,0,0,0,1,2
2,Gulbadin Naib,3,0,0,1,1,0,0,5
2,Hazratullah Zazai,2,0,2,0,2,2,0,8
2,Mohammad Shahzad,1,1,0,0,2,0,1,5
2,Asghar Afghan,4,0,1,0,1,1,0,7
2,Najibullah Zadran,0,0,1,1,3,1,0,6
2,Dawlat Zadran,1,0,0,0,1,0,0,2
2,Hamid Hassan,0,1,0,0,0,0,1,2
2,Samiullah Shinwari,2,0,0,0,2,0,0,4
3,Mohammad Nabi,4,0,0,0,1,0,0,5
3,Rashid Khan,1,0,2,0,1,2,0,6
3,Mujeeb Ur Rahman,2,0,0,1,1,0,0,4
3,Gulbadin Naib,1,1,1,0,2,1,1,7
3,Hazratullah Zazai,3,0,1,0,2,1,1,8
3,Mohammad Shahzad,2,1,0,1,1,0,0,5
3,Asghar Afghan,1,0,2,0,3,2,0,8
3,Najibullah Zadran,2,0,0,0,1,0,1,4
3,Dawlat Zadran,0,0,1,0,2,1,0,4
3,Hamid Hassan,1,1,0,0,1,0,1,4
3,Samiullah Shinwari,3,0,1,1,1,1,0,7
