Match_No,Player_Name,Catches_Taken,Catches_Dropped,Run_Outs_Executed,Run_Outs_Missed,Boundaries_Saved,Direct_Hits,Fumbles,Total_Fielding_Actions
1,Steve Smith,3,1,1,0,2,1,1,9
1,David Warner,2,0,0,1,3,2,0,8
1,Marcus Stoinis,4,0,1,0,1,1,0,7
1,Glenn Maxwell,1,1,2,0,2,2,0,8
1,Adam Zampa,0,0,0,0,1,0,1,2
1,Mitchell Starc,1,0,1,1,1,1,0,5
1,Josh Hazlewood,0,1,0,0,2,0,0,3
1,Pat Cummins,2,0,0,0,1,0,1,4
1,Alex Carey,3,0,2,0,1,2,0,8
1,Ashton Agar,1,0,0,1,2,0,0,4
1,Kane Richardson,0,0,0,0,1,1,0,2
2,Steve Smith,2,0,2,0,1,2,0,7
2,David Warner,3,1,0,0,2,1,1,8
2,Marcus Stoinis,1,0,0,1,3,1,0,6
2,Glenn Maxwell,5,0,1,0,2,1,0,9
2,Adam Zampa,1,0,0,0,0,0,0,1
2,Mitchell Starc,0,0,2,0,1,2,0,5
2,Josh Hazlewood,1,1,0,0,1,0,1,4
2,Pat Cummins,1,0,1,0,2,1,0,5
2,Alex Carey,2,0,1,1,2,1,1,8
2,Ashton Agar,0,1,0,0,1,0,1,3
2,Kane Richardson,1,0,0,0,2,0,0,3
3,Steve Smith,4,0,0,1,1,1,0,7
3,David Warner,1,1,1,0,2,1,1,7
3,Marcus Stoinis,2,1,1,0,2,1,1,8
3,Glenn Maxwell,3,0,2,0,1,2,0,8
3,Adam Zampa,0,0,0,1,1,0,0,2
3,Mitchell Starc,1,0,0,0,3,1,0,5
3,Josh Hazlewood,0,0,1,0,1,1,0,3
3,Pat Cummins,2,0,1,0,1,1,1,6
3,Alex Carey,1,1,2,0,0,2,0,6
3,Ashton Agar,2,0,0,0,2,0,0,4
3,Kane Richardson,0,1,0,0,1,0,1,3
4,Steve Smith,1,0,1,1,3,1,0,7
4,David Warner,3,0,0,0,2,0,1,6
4,Marcus Stoinis,2,1,2,0,1,2,0,8
4,Glenn Maxwell,4,0,0,1,2,1,0,8
4,Adam Zampa,1,0,0,0,0,0,0,1
4,Mitchell Starc,0,1,1,0,2,1,0,5
4,Josh Hazlewood,1,0,0,1,1,0,1,4
4,Pat Cummins,2,0,0,0,3,0,0,5
4,Alex Carey,3,0,1,0,1,1,1,7
4,Ashton Agar,1,1,0,0,1,0,2,5
4,Kane Richardson,0,0,1,0,2,1,0,4
