Match_No,Player_Name,Catches_Taken,Catches_Dropped,Run_Outs_Executed,Run_Outs_Missed,Boundaries_Saved,Direct_Hits,Fumbles,Total_Fielding_Actions
1,Chris Gayle,2,1,0,1,1,0,2,7
1,Andre Russell,3,0,2,0,2,2,0,9
1,Kieron Pollard,4,0,1,0,3,1,0,9
1,Dwayne Bravo,1,1,1,1,2,1,1,8
1,Sunil Narine,1,0,0,0,1,0,0,2
1,Jason Holder,2,0,1,0,1,1,1,6
1,Nicholas Pooran,3,0,0,1,2,0,0,6
1,Shimron Hetmyer,1,1,0,0,1,0,1,4
1,Evin Lewis,2,0,1,0,1,1,0,5
1,Fabian Allen,0,1,1,0,2,1,0,5
1,Sheldon Cottrell,1,0,0,1,1,0,1,4
2,Chris Gayle,1,0,1,0,2,1,0,5
2,Andre Russell,2,1,1,0,1,1,1,7
2,Kieron Pollard,3,0,2,0,2,2,0,9
2,Dwayne Bravo,2,0,0,1,3,0,0,6
2,Sunil Narine,0,0,0,0,0,0,1,1
2,Jason Holder,1,1,2,0,1,2,0,7
2,Nicholas Pooran,4,0,0,0,1,0,1,6
2,Shimron Hetmyer,2,0,1,1,2,1,0,7
2,Evin Lewis,1,1,0,0,2,0,1,5
2,Fabian Allen,1,0,0,0,1,0,0,2
2,Sheldon Cottrell,0,0,1,0,1,1,0,3
3,Chris Gayle,3,0,0,0,1,0,1,5
3,Andre Russell,1,1,3,0,1,3,0,9
3,Kieron Pollard,2,0,1,1,2,1,1,8
3,Dwayne Bravo,3,0,1,0,2,1,0,7
3,Sunil Narine,1,0,0,1,0,0,0,2
3,Jason Holder,1,0,0,0,3,1,0,5
3,Nicholas Pooran,2,1,1,0,1,1,1,7
3,Shimron Hetmyer,0,1,2,0,1,2,0,6
3,Evin Lewis,3,0,0,1,2,0,0,6
3,Fabian Allen,2,0,1,0,1,1,0,5
3,Sheldon Cottrell,0,1,0,0,2,0,1,4
