Match_No,Player_Name,Catches_Taken,Catches_Dropped,Run_Outs_Executed,Run_Outs_Missed,Boundaries_Saved,Direct_Hits,Fumbles,Total_Fielding_Actions
1,Virat Kohli,3,1,1,0,2,1,1,9
1,Rohit Sharma,2,0,0,1,3,2,0,8
1,MS Dhoni,1,0,2,0,1,2,0,6
1,Hardik Pandya,2,1,1,1,1,0,2,8
1,Ravindra Jadeja,4,0,1,0,2,1,0,8
1,KL Rahul,1,1,0,0,1,0,1,4
1,Jasprit Bumrah,0,0,0,0,0,0,0,1
1,Yuzvendra Chahal,1,0,0,1,0,0,1,3
1,Mohammed Shami,0,1,0,0,1,0,0,2
1,Bhuvneshwar Kumar,1,0,0,0,2,1,0,4
1,Rishabh Pant,2,0,1,0,1,1,1,6
2,Virat Kohli,2,0,0,1,1,0,0,4
2,Rohit Sharma,3,1,1,0,2,1,1,9
2,MS Dhoni,1,0,1,0,2,1,0,5
2,Hardik Pandya,1,0,2,0,0,2,0,5
2,Ravindra Jadeja,3,0,0,0,3,2,0,8
2,KL Rahul,2,1,0,1,1,0,1,6
2,Jasprit Bumrah,0,0,0,0,1,0,0,1
2,Yuzvendra Chahal,0,1,0,0,0,0,2,3
2,Mohammed Shami,1,0,0,0,0,1,0,2
2,Bhuvneshwar Kumar,1,0,1,0,1,0,0,3
2,Rishabh Pant,1,1,0,1,2,0,1,6
3,Virat Kohli,1,1,1,0,1,1,0,5
3,Rohit Sharma,2,0,0,0,1,0,1,4
3,MS Dhoni,3,0,1,0,1,2,0,7
3,Hardik Pandya,0,1,0,1,2,0,1,5
3,Ravindra Jadeja,2,0,1,0,2,1,0,6
3,KL Rahul,1,0,0,0,0,0,0,1
3,Jasprit Bumrah,0,0,0,0,0,0,1,1
3,Yuzvendra Chahal,1,0,0,0,1,0,0,2
3,Mohammed Shami,0,0,0,1,1,0,1,3
3,Bhuvneshwar Kumar,2,0,0,0,2,1,0,5
3,Rishabh Pant,2,0,2,0,0,1,0,5
