Match_No,Player_Name,Catches_Taken,Catches_Dropped,Run_Outs_Executed,Run_Outs_Missed,Boundaries_Saved,Direct_Hits,Fumbles,Total_Fielding_Actions
1,Kane Williamson,3,0,1,0,2,1,0,7
1,Martin Guptill,2,1,0,1,3,1,1,9
1,Ross Taylor,4,0,2,0,1,2,0,9
1,Colin Munro,1,1,1,0,2,0,1,6
1,Jimmy Neesham,2,0,1,1,1,1,0,6
1,Mitchell Santner,1,0,0,0,2,0,0,3
1,Tim Southee,0,1,1,0,1,1,0,4
1,Trent Boult,1,0,2,0,2,2,0,7
1,Ish Sodhi,0,0,0,1,1,0,1,3
1,Lockie Ferguson,1,0,0,0,1,0,0,2
1,Devon Conway,3,0,0,0,2,0,1,6
2,Kane Williamson,2,1,2,0,1,2,0,8
2,Martin Guptill,3,0,1,0,2,1,1,8
2,Ross Taylor,1,0,0,1,3,1,0,6
2,Colin Munro,2,0,1,0,1,1,1,6
2,Jimmy Neesham,4,0,0,0,2,0,0,6
2,Mitchell Santner,0,1,1,0,1,1,0,4
2,Tim Southee,1,0,0,1,2,0,1,5
2,Trent Boult,2,0,1,0,1,1,0,5
2,Ish Sodhi,1,0,0,0,0,0,0,1
2,Lockie Ferguson,0,0,2,0,1,2,0,5
2,Devon Conway,2,1,0,0,1,0,1,5
3,Kane Williamson,4,0,0,1,2,1,0,8
3,Martin Guptill,1,0,1,0,3,1,0,6
3,Ross Taylor,3,1,1,0,1,1,1,8
3,Colin Munro,2,0,0,1,2,0,0,5
3,Jimmy Neesham,1,1,2,0,1,2,0,7
3,Mitchell Santner,2,0,0,0,1,0,1,4
3,Tim Southee,0,0,1,0,2,1,0,4
3,Trent Boult,1,0,0,0,3,1,0,5
3,Ish Sodhi,0,1,0,0,0,0,1,2
3,Lockie Ferguson,1,0,1,1,1,1,0,5
3,Devon Conway,3,0,1,0,1,1,0,6
