Match_No,Player_Name,Catches_Taken,Catches_Dropped,Run_Outs_Executed,Run_Outs_Missed,Boundaries_Saved,Direct_Hits,Fumbles,Total_Fielding_Actions
1,Jos Buttler,3,0,1,0,2,1,0,7
1,Jonny Bairstow,2,1,0,1,1,0,1,6
1,Ben Stokes,4,0,2,0,1,2,0,9
1,Eoin Morgan,1,0,1,1,3,1,0,7
1,Moeen Ali,2,1,0,0,2,0,1,6
1,Liam Livingstone,1,0,0,0,1,0,0,2
1,Chris Woakes,0,0,1,0,1,1,0,3
1,Adil Rashid,1,1,0,0,0,0,1,3
1,Jofra Archer,0,0,0,1,2,0,0,3
1,Mark Wood,1,0,0,0,1,0,1,3
1,Sam Curran,2,0,1,0,1,1,0,5
2,Jos Buttler,4,1,0,0,3,1,1,10
2,Jonny Bairstow,1,0,1,1,2,1,0,6
2,Ben Stokes,3,0,1,0,2,1,0,7
2,Eoin Morgan,2,1,2,0,1,2,0,8
2,Moeen Ali,1,0,0,1,1,0,2,5
2,Liam Livingstone,0,1,0,0,1,0,1,3
2,Chris Woakes,1,0,0,0,2,1,0,4
2,Adil Rashid,0,0,0,0,0,0,0,1
2,Jofra Archer,2,0,1,0,1,1,0,5
2,Mark Wood,0,1,0,0,1,0,1,3
2,Sam Curran,1,0,2,0,0,2,0,5
3,Jos Buttler,2,0,2,0,1,2,0,7
3,Jonny Bairstow,3,0,0,0,2,0,1,6
3,Ben Stokes,1,1,1,1,3,1,0,8
3,Eoin Morgan,3,0,0,1,2,1,0,7
3,Moeen Ali,2,0,1,0,1,1,1,6
3,Liam Livingstone,1,0,0,0,2,0,0,3
3,Chris Woakes,0,0,1,0,1,1,0,3
3,Adil Rashid,1,0,0,1,0,0,0,2
3,Jofra Archer,1,0,0,0,3,1,0,5
3,Mark Wood,0,0,0,0,1,0,0,1
3,Sam Curran,2,1,1,0,1,1,1,7
